CPQ ID,Account ID,CreatedDate,Product Group, X36 MRC List , X36 NRR List , X36 NPV List ,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
CPQ-000024,Acct-000017,10/5/16,Wavelengths - Long Haul," $2,209.29 "," $3,607.20 "," $24,455.63 ",Bldg-111204,Denver,6400 S Fiddlers Green Cir,Englewood,CO,80111,621.87,On Zayo Network
CPQ-000025,Acct-000018,10/5/16,Ethernet," $4,038.87 "," $1,152.50 "," $23,832.79 ",Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
CPQ-000025,Acct-000018,10/5/16,Ethernet," $4,038.87 "," $1,152.50 "," $23,832.79 ",Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000026,Acct-000018,10/5/16,Wavelengths - Metro," $5,202.80 "," $2,996.50 "," $43,309.50 ",Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
CPQ-000026,Acct-000018,10/5/16,Wavelengths - Metro," $5,202.80 "," $2,996.50 "," $43,309.50 ",Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000027,Acct-000018,10/5/16,Ethernet," $3,692.70 "," $1,152.50 "," $21,830.48 ",Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network
CPQ-000027,Acct-000018,10/5/16,Ethernet," $3,692.70 "," $1,152.50 "," $21,830.48 ",Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network
CPQ-000028,Acct-000019,10/4/16,zColo, $876.67 ," $1,152.50 "," $17,356.95 ",Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
CPQ-000029,Acct-000020,10/5/16,IP Services, $732.76 , $922.00 ," $9,249.58 ",Bldg-081145,Denver,110 16th St,Denver,CO,80202,133.87,On Zayo Network
CPQ-000030,Acct-000014,10/5/16,Wavelengths - Long Haul," $2,791.26 "," $2,766.00 ", $-   ,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
CPQ-000031,Acct-000021,10/4/16,zColo, $248.94 , $276.60 ," $7,064.50 ",Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network
CPQ-000032,Acct-000022,10/5/16,Ethernet, $532.10 , $461.00 ," $9,312.20 ",Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network
CPQ-000033,Acct-000023,10/4/16,IP Services," $2,278.05 ", $922.00 ," $22,086.93 ",Bldg-359968,Denver,1515 Wazee St,Denver,CO,80202,171.9,Not on Zayo Network
CPQ-000034,Acct-000002,10/5/16,Wavelengths - Metro," $1,445.92 "," $2,766.00 "," $19,926.89 ",Bldg-114698,Dallas,1116 Houston St,Fort Worth,TX,76102,123.09,On Zayo Network
CPQ-000034,Acct-000002,10/5/16,Wavelengths - Metro," $1,445.92 "," $2,766.00 "," $19,926.89 ",Bldg-121340,Dallas,2440 Marsh Ln,Carrollton,TX,75006,250.98,On Zayo Network
CPQ-000035,Acct-000023,10/4/16,IP Services," $2,278.05 ", $922.00 ," $22,086.93 ",Bldg-359968,Denver,1515 Wazee St,Denver,CO,80202,171.9,Not on Zayo Network
CPQ-000036,Acct-000023,10/4/16,IP Services," $2,742.95 ", $922.00 ," $34,895.36 ",Bldg-359968,Denver,1515 Wazee St,Denver,CO,80202,171.9,Not on Zayo Network
CPQ-000037,Acct-000017,10/5/16,Ethernet," $1,416.65 ", $922.00 ," $29,196.41 ",Bldg-111204,Denver,6400 S Fiddlers Green Cir,Englewood,CO,80111,621.87,On Zayo Network
CPQ-000038,Acct-000024,10/4/16,IP Services," $1,881.24 ", $922.00 ," $15,826.87 ",Bldg-494058,Dallas,2670 Edmonds Ln,Lewisville,TX,75067,1173.59,Not on Zayo Network
CPQ-000039,Acct-000025,10/5/16,Ethernet," $7,965.75 ", $461.00 ," $54,457.28 ",Bldg-491099,Atlanta,1775 M H Jackson Service Rd,Atlanta,GA,30354,,Build in Progress
CPQ-000040,Acct-000026,10/5/16,IP Services, $936.59 , $922.00 ," $20,905.72 ",Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
